OBJECTID,ID,LENGTH,AFC_NUMBER,ROADTYPE,NUMBER,PRIMARY_NA,ALT_NAME_1,ALT_NAME_2,LOCAL_NAME,STATE,CCSTYLE,ALTFUEL_RO,EV_ROUND,EV,ELECTRICVE,CNG_ROUND,CNG,COMNATURAL,LNG_ROUND,LNG,LIQNATURAL,LPG_ROUND,LPG,PROPANE,HY_ROUND,HY,HYDROGEN,Len_miles,Not_NHS,ShapeSTLength
66,198,159.96,94,I,94,I94,I,94, ,ND,1,25,2,2,Signage Pending,0,0, ,0,0, ,5,2,Signage Pending,0,0, ,159.96235456,0,374614.452841558
67,221,11.8,5,I,5,I5, , , ,CA,1,1,1,1,Signage Ready,1,1,Signage Ready,1,1,Signage Ready,0,0, ,1,1,Signage Ready,11.7964013,0,22766.9856753992
68,243,31.53,30,I,30,I30, ,30, ,AR,1,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,31.53107878,0,61106.5906896676
69,280,150.65,412,U,412,U412, , , ,OK,3,2,0,0, ,2,1,Signage Ready,0,0, ,0,0, ,0,0, ,150.65473023,0,304000.311259804
70,286,162.18,400,S,400,S400, , , ,KS,4,46,6,2,Signage Pending,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,162.17604025,0,332045.468375632
71,287,352.67,70,I,70,I70, , , ,KS,1,3,3,2,Signage Pending,3,2,Signage Pending,3,2,Signage Pending,3,2,Signage Pending,0,0, ,352.67354514,0,735841.57166193
72,288,59.76,80,I,80,I80, , , ,NE,1,1,1,2,Signage Pending,1,2,Signage Pending,0,0, ,1,2,Signage Pending,0,0, ,59.76208793,0,127869.325318569
73,324,47.01,15,I,15,I15, , , ,CA,1,15,5,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,0,0, ,1,2,Signage Pending,47.01369935,0,91006.2269627323
74,325,22.53,215,I,215,I215,I,215, ,CA,1,2,2,1,Signage Ready,2,1,Signage Ready,2,2,Signage Pending,0,0, ,0,0, ,22.52659325,0,43479.1313009127
75,358,11.14,17,I,17,I17, , ,I-17,AZ,1,25,5,1,Signage Ready,2,2,Signage Pending,0,0, ,5,1,Signage Ready,5,2,Signage Pending,11.13579138,0,21442.8554440727
76,394,47.42,75,U,75,U75,U,75, ,TX,3,26,2,2,Signage Pending,2,1,Signage Ready,2,2,Signage Pending,2,1,Signage Ready,6,2,Signage Pending,47.41838141,0,91322.0810769516
77,422,57.24,20,I,20,I20, , , ,GA,1,23,2,2,Signage Pending,2,1,Signage Ready,3,2,Signage Pending,5,1,Signage Ready,0,0, ,57.23878628,0,111106.34388136
78,432,33.19,459,I,459,I459, , , ,AL,1,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,33.18997106,0,64125.2281498346
